time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448950000	19.335	16.2632	4.81674	2.0722	0.577428	radar	2.00293	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2216	16.4451	4.79361	2.10319	0.582162	lidar	1.56116	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.0984	16.647	4.79127	2.1329	0.584042	radar	0.376904	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9741	16.8463	4.78807	2.16029	0.582538	lidar	0.0480295	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8167	17.0363	4.79557	2.21795	0.643617	radar	6.1127	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6594	17.2471	4.81582	2.24929	0.640556	lidar	1.06298	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5514	17.4575	4.80799	2.23477	0.549771	radar	6.3716	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3497	17.6318	4.82003	2.28012	0.566711	lidar	3.60432	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2114	17.8252	4.81546	2.28341	0.515779	radar	2.5395	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0783	18.0113	4.80763	2.30023	0.507443	lidar	0.981053	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9002	18.1688	4.80367	2.34296	0.539339	radar	2.01505	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7585	18.3216	4.77821	2.36579	0.537571	lidar	1.64284	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6199	18.5078	4.77371	2.37256	0.508153	radar	6.8085	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4364	18.676	4.78196	2.39961	0.509073	lidar	0.182886	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2517	18.8209	4.77715	2.43431	0.525435	radar	1.86273	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0853	18.9611	4.75965	2.45922	0.525588	lidar	0.726151	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9174	19.1315	4.76218	2.47049	0.502852	radar	2.96719	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7035	19.2428	4.75579	2.51085	0.518953	lidar	2.81068	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5153	19.3938	4.76134	2.53412	0.519293	radar	3.09162	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3053	19.5404	4.77708	2.5595	0.517361	lidar	0.574576	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.079	19.6267	4.77055	2.60992	0.554117	radar	10.1741	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
